Date,Arizona,California,Florida,Illinois,Michigan,New York,Texas,Colorado
2004-08-01,-0.6855219678898583,-0.48793017350993023,-0.6025137993720102,-0.3684683394992686,-0.15036079627121132,-0.33168346501016466,0.08112934583693165,0.05035000406957194
2004-09-01,-0.734439293646122,-0.528622419640488,-0.6441063147649005,-0.3684683394992686,-0.15036079627121132,-0.3977144589661049,0.08112934583693165,-0.0034896042424459733
2004-10-01,-0.734439293646122,-0.5693146657710457,-0.6441063147649005,-0.3684683394992686,-0.11206134816439321,-0.46374545292204516,0.08112934583693165,-0.0034896042424459733
2004-11-01,-0.734439293646122,-0.5693146657710457,-0.6856988301577909,-0.3684683394992686,-0.11206134816439321,-0.529776446877986,0.08112934583693165,-0.0034896042424459733
2004-12-01,-0.734439293646122,-0.6100069119016038,-0.6856988301577909,-0.4194543493210762,-0.11206134816439321,-0.5958074408339262,0.08112934583693165,-0.0034896042424459733
2005-01-01,-0.734439293646122,-0.6100069119016038,-0.7272913455506815,-0.4194543493210762,-0.11206134816439321,-0.661838434789867,0.0035897940635811563,-0.0034896042424459733
2005-02-01,-0.734439293646122,-0.6506991580321615,-0.7688838609435719,-0.4194543493210762,-0.15036079627121132,-0.661838434789867,0.0035897940635811563,-0.0034896042424459733
2005-03-01,-0.734439293646122,-0.6913914041627196,-0.8520688917293529,-0.47044035914288385,-0.1886602443780291,-0.7278694287458073,-0.07394975770977003,-0.05732921255446341
2005-04-01,-0.734439293646122,-0.7320836502932774,-0.8936614071222433,-0.5214263689646919,-0.22695969248484688,-0.7278694287458073,-0.15148930948312053,-0.05732921255446341
2005-05-01,-0.7833566194023853,-0.7727758964238352,-0.9352539225151338,-0.5214263689646919,-0.3035585886984828,-0.7939004227017475,-0.229028861256471,-0.11116882086648133
2005-06-01,-0.7833566194023853,-0.8134681425543933,-1.0184389533009146,-0.5724123787864995,-0.3418580368053009,-0.7939004227017475,-0.3065684130298222,-0.11116882086648133
2005-07-01,-0.832273945158649,-0.8134681425543933,-1.060031468693805,-0.6233983886083075,-0.3418580368053009,-0.7278694287458073,-0.3065684130298222,-0.16500842917849878
2005-08-01,-0.832273945158649,-0.8134681425543933,-1.060031468693805,-0.6233983886083075,-0.3418580368053009,-0.7278694287458073,-0.3065684130298222,-0.2188480374905162
2005-09-01,-0.832273945158649,-0.8134681425543933,-1.1016239840866955,-0.6233983886083075,-0.3418580368053009,-0.661838434789867,-0.3065684130298222,-0.2188480374905162
